cust_id,basic_1,basic_2,basic_3
0,38,1.0,60.0
1,51,1.0,60.0
2,53,2.0,99.0
3,56,1.0,30.0
4,54,1.0,40.0
5,35,1.0,99.0
6,40,1.0,60.0
7,32,1.0,99.0
8,33,1.0,30.0
9,30,1.0,60.0
10,38,2.0,60.0
11,47,2.0,20.0
12,37,1.0,30.0
13,37,1.0,20.0
14,40,2.0,20.0
15,30,1.0,20.0
16,36,1.0,91.0
17,38,1.0,20.0
18,50,1.0,60.0
19,48,1.0,20.0
20,34,1.0,30.0
21,47,1.0,91.0
22,47,2.0,40.0
23,27,2.0,91.0
24,46,1.0,60.0
25,53,1.0,91.0
26,42,1.0,40.0
27,33,2.0,40.0
28,45,1.0,30.0
29,32,1.0,99.0
30,33,1.0,30.0
31,42,2.0,30.0
32,42,1.0,30.0
33,47,1.0,91.0
34,34,2.0,30.0
35,55,1.0,60.0
36,38,1.0,60.0
37,41,1.0,40.0
38,34,1.0,30.0
39,36,1.0,20.0
40,48,1.0,30.0
41,50,1.0,99.0
42,38,1.0,20.0
43,32,1.0,20.0
44,32,1.0,99.0
45,33,1.0,30.0
46,46,1.0,91.0
47,37,1.0,30.0
48,59,1.0,30.0
49,34,1.0,20.0
50,44,1.0,20.0
51,46,1.0,40.0
52,41,1.0,60.0
53,45,2.0,30.0
54,34,1.0,99.0
55,30,1.0,91.0
56,49,2.0,60.0
57,42,1.0,30.0
58,32,2.0,20.0
59,57,2.0,20.0
60,35,1.0,30.0
61,25,1.0,99.0
62,37,1.0,30.0
63,38,1.0,30.0
64,48,2.0,30.0
65,48,1.0,30.0
66,33,1.0,20.0
67,57,2.0,20.0
68,48,1.0,20.0
69,34,1.0,91.0
70,53,2.0,91.0
71,38,1.0,60.0
72,45,1.0,30.0
73,40,2.0,40.0
74,53,1.0,91.0
75,36,1.0,30.0
76,33,2.0,10.0
77,39,2.0,30.0
78,36,1.0,20.0
79,29,2.0,20.0
80,36,1.0,30.0
81,37,2.0,30.0
82,50,1.0,91.0
83,43,1.0,91.0
84,26,1.0,10.0
85,43,1.0,60.0
86,45,1.0,90.0
87,34,1.0,40.0
88,28,1.0,30.0
89,38,1.0,91.0
90,48,1.0,90.0
91,50,2.0,40.0
92,36,2.0,30.0
93,53,1.0,60.0
94,31,2.0,20.0
95,34,1.0,30.0
96,41,1.0,91.0
97,32,1.0,99.0
98,45,1.0,20.0
99,47,1.0,91.0
100,31,1.0,40.0
101,41,1.0,30.0
102,38,1.0,91.0
103,34,1.0,60.0
104,30,1.0,30.0
105,45,2.0,20.0
106,35,1.0,30.0
107,36,1.0,30.0
108,60,2.0,60.0
109,47,1.0,60.0
110,46,1.0,60.0
111,42,1.0,99.0
112,30,1.0,99.0
113,55,1.0,60.0
114,33,1.0,30.0
115,39,1.0,20.0
116,43,1.0,60.0
117,31,1.0,30.0
118,49,2.0,60.0
119,48,1.0,30.0
120,29,1.0,20.0
121,56,1.0,60.0
122,50,1.0,30.0
123,34,1.0,99.0
124,46,1.0,30.0
125,38,2.0,91.0
126,47,1.0,60.0
127,36,1.0,60.0
128,46,2.0,60.0
129,46,1.0,30.0
130,28,2.0,30.0
131,52,2.0,40.0
132,34,1.0,20.0
133,54,2.0,30.0
134,36,1.0,90.0
135,37,2.0,91.0
136,39,1.0,60.0
137,54,2.0,30.0
138,48,1.0,30.0
139,52,1.0,20.0
140,32,2.0,20.0
141,45,1.0,30.0
142,40,1.0,20.0
143,44,1.0,10.0
144,28,1.0,60.0
145,37,1.0,30.0
146,31,1.0,91.0
147,38,1.0,20.0
148,34,1.0,60.0
149,28,1.0,99.0
150,33,1.0,40.0
151,37,2.0,20.0
152,38,1.0,91.0
153,36,2.0,60.0
154,36,1.0,20.0
155,38,2.0,30.0
156,33,1.0,20.0
157,42,1.0,99.0
158,56,1.0,30.0
159,30,1.0,60.0
160,34,1.0,60.0
161,39,1.0,91.0
162,39,2.0,60.0
163,28,1.0,60.0
164,55,1.0,30.0
165,49,1.0,60.0
166,31,1.0,60.0
167,55,1.0,30.0
168,47,1.0,60.0
169,41,1.0,30.0
170,44,1.0,20.0
171,46,2.0,40.0
172,48,1.0,60.0
173,48,1.0,60.0
174,53,2.0,30.0
175,51,1.0,60.0
176,30,1.0,30.0
177,34,1.0,40.0
178,42,1.0,60.0
179,54,1.0,60.0
180,30,1.0,99.0
181,38,2.0,20.0
182,24,1.0,20.0
183,47,1.0,30.0
184,38,1.0,30.0
185,35,1.0,30.0
186,60,1.0,40.0
187,48,2.0,99.0
188,45,1.0,20.0
189,41,1.0,30.0
190,32,1.0,30.0
191,32,1.0,60.0
192,35,2.0,60.0
193,30,2.0,30.0
194,53,2.0,99.0
195,32,1.0,30.0
196,53,1.0,90.0
197,43,2.0,91.0
198,30,2.0,20.0
199,39,1.0,40.0
200,47,1.0,60.0
201,41,2.0,91.0
202,52,2.0,20.0
203,52,1.0,20.0
204,54,1.0,20.0
205,30,1.0,20.0
206,34,2.0,30.0
207,34,1.0,30.0
208,45,1.0,10.0
209,43,1.0,99.0
210,43,1.0,60.0
211,36,1.0,60.0
212,53,1.0,60.0
213,31,1.0,40.0
214,28,1.0,30.0
215,42,2.0,30.0
216,39,2.0,60.0
217,40,2.0,30.0
218,24,1.0,30.0
219,47,2.0,30.0
220,42,1.0,30.0
221,40,1.0,91.0
222,35,2.0,20.0
223,38,2.0,40.0
224,32,1.0,91.0
225,51,1.0,30.0
226,47,1.0,60.0
227,40,2.0,60.0
228,51,1.0,40.0
229,47,2.0,30.0
230,38,2.0,60.0
231,38,2.0,30.0
232,39,2.0,60.0
233,44,2.0,60.0
234,41,2.0,40.0
235,37,1.0,20.0
236,40,2.0,99.0
237,48,1.0,60.0
238,24,2.0,60.0
239,37,2.0,30.0
240,33,1.0,30.0
241,38,1.0,30.0
242,33,1.0,30.0
243,37,2.0,
244,52,1.0,60.0
245,43,2.0,30.0
246,43,1.0,60.0
247,43,1.0,60.0
248,53,2.0,40.0
249,30,1.0,30.0
250,38,1.0,99.0
251,48,2.0,30.0
252,52,1.0,10.0
253,41,1.0,40.0
254,54,1.0,60.0
255,40,2.0,60.0
256,51,2.0,60.0
257,41,1.0,20.0
258,51,1.0,60.0
259,34,1.0,30.0
260,33,2.0,99.0
261,33,1.0,20.0
262,34,1.0,99.0
263,34,2.0,90.0
264,28,1.0,30.0
265,49,1.0,60.0
266,45,1.0,30.0
267,38,1.0,20.0
268,36,1.0,99.0
269,51,1.0,91.0
270,33,1.0,30.0
271,36,2.0,91.0
272,45,1.0,60.0
273,38,1.0,60.0
274,50,1.0,20.0
275,46,1.0,30.0
276,25,1.0,30.0
277,37,2.0,30.0
278,39,2.0,60.0
279,27,1.0,91.0
280,31,1.0,30.0
281,39,1.0,30.0
282,36,1.0,30.0
283,40,1.0,40.0
284,47,1.0,91.0
285,38,2.0,30.0
286,39,1.0,91.0
287,56,1.0,40.0
288,39,2.0,20.0
289,45,1.0,30.0
290,29,1.0,20.0
291,30,1.0,20.0
292,30,2.0,
293,32,1.0,30.0
294,36,2.0,20.0
295,51,2.0,60.0
296,50,1.0,40.0
297,44,2.0,91.0
298,31,1.0,40.0
299,37,1.0,90.0
300,28,1.0,40.0
301,46,1.0,90.0
302,34,1.0,20.0
303,40,1.0,20.0
304,48,1.0,90.0
305,54,2.0,60.0
306,49,1.0,30.0
307,55,1.0,60.0
308,39,1.0,99.0
309,35,1.0,20.0
310,45,2.0,
311,50,1.0,30.0
312,38,1.0,30.0
313,35,1.0,99.0
314,32,2.0,20.0
315,-1,1.0,20.0
316,56,2.0,91.0
317,43,1.0,20.0
318,54,1.0,30.0
319,43,1.0,30.0
320,39,1.0,60.0
321,31,2.0,99.0
322,49,1.0,99.0
323,38,1.0,30.0
324,51,1.0,99.0
325,47,1.0,99.0
326,43,1.0,30.0
327,32,1.0,99.0
328,27,1.0,40.0
