cust_id,province,industry,scope
0,0,0,0
1,0,1,1
2,1,2,2
3,1,3,3
4,0,4,4
5,0,5,5
6,0,6,6
7,2,7,7
8,3,8,8
9,4,9,9
10,5,10,10
11,6,11,11
12,7,12,12
13,4,13,8
14,8,14,13
15,4,15,8
16,1,16,14
17,0,17,15
18,8,18,16
19,8,19,17
20,9,3,18
21,10,20,19
22,6,21,8
23,7,22,8
24,11,23,20
25,10,24,21
26,4,25,22
27,8,26,23
28,9,27,8
29,0,3,8
30,0,28,24
31,1,29,25
32,12,30,26
33,13,24,27
34,14,31,8
35,10,32,28
36,12,25,29
37,15,33,30
38,2,34,31
39,7,35,8
40,8,36,8
41,11,37,8
42,0,38,32
43,0,8,33
44,8,12,34
45,16,39,35
46,9,40,36
47,0,41,37
48,13,32,38
49,0,42,39
50,5,43,40
51,17,41,41
52,17,44,42
53,8,41,43
54,18,7,8
55,8,45,44
56,7,46,45
57,8,47,46
58,0,41,47
59,8,23,8
60,8,48,48
61,17,28,49
62,8,49,8
63,0,50,50
64,9,51,51
65,0,52,52
66,6,7,53
67,19,53,54
68,7,54,55
69,8,55,56
70,20,27,8
71,0,46,57
72,6,56,8
73,21,17,58
74,17,7,59
75,22,57,8
76,23,58,60
77,13,56,61
78,8,48,8
79,8,59,8
80,24,52,62
81,19,60,8
82,11,24,63
83,4,61,64
84,1,62,65
85,0,63,66
86,19,64,67
87,5,65,68
88,4,66,8
89,20,67,69
90,13,45,70
91,5,17,71
92,0,68,72
93,11,8,8
94,15,42,73
95,0,22,74
96,7,66,75
97,11,31,8
98,17,69,76
99,24,70,77
100,6,71,78
101,25,72,79
102,0,73,80
103,19,74,81
104,22,50,82
105,5,75,83
106,11,76,84
107,5,77,85
108,0,59,86
109,8,78,87
110,8,66,88
111,17,79,89
112,20,80,8
113,26,1,90
114,17,81,8
115,11,21,91
116,0,38,92
117,25,27,93
118,17,11,94
119,11,8,95
120,20,82,96
121,17,12,97
122,0,83,98
123,0,84,8
124,0,85,99
125,24,32,8
126,4,86,100
127,17,25,101
128,10,87,102
129,9,88,103
130,10,61,8
131,17,89,104
132,2,59,105
133,24,90,106
134,24,8,107
135,11,27,8
136,17,25,108
137,19,91,8
138,4,92,109
139,27,93,110
140,9,27,111
141,23,94,8
142,0,95,8
143,21,27,8
144,24,19,112
145,25,47,113
146,1,3,8
147,1,96,114
148,9,51,115
149,23,97,8
150,17,56,116
151,19,61,117
152,1,70,118
153,4,56,119
154,9,45,120
155,7,98,121
156,1,41,122
157,0,9,8
158,1,37,123
159,0,42,124
160,10,17,125
161,12,99,126
162,0,99,127
163,4,100,128
164,7,101,129
165,11,12,8
166,0,102,130
167,17,103,131
168,11,13,8
169,13,104,132
170,5,105,133
171,1,70,134
172,11,106,135
173,5,107,8
174,1,8,136
175,24,108,137
176,17,24,138
177,0,109,139
178,1,110,140
179,9,111,8
180,5,112,8
181,0,109,141
182,28,72,142
183,3,16,143
184,19,113,144
185,29,114,145
186,9,115,146
187,14,116,147
188,9,117,148
189,0,46,149
190,25,118,150
191,25,116,151
192,14,119,152
193,4,41,8
194,15,3,8
195,0,113,153
196,0,120,154
197,6,121,155
198,6,122,8
199,25,12,156
200,12,110,157
201,0,123,158
202,2,7,159
203,28,8,160
204,4,124,8
205,4,7,161
206,11,31,162
207,8,110,163
208,1,74,164
209,17,12,165
210,10,41,166
211,25,125,167
212,25,7,8
213,0,108,8
214,1,23,168
215,0,6,169
216,4,12,170
217,11,41,171
218,25,126,172
219,27,127,173
220,4,128,174
221,4,129,175
222,0,130,176
223,13,131,177
224,17,110,178
225,11,11,179
226,0,48,180
227,13,132,181
228,17,65,182
229,5,65,183
230,7,17,8
231,9,133,8
232,1,116,184
233,12,61,8
234,0,61,185
235,28,43,186
236,25,10,8
237,25,45,8
238,0,134,187
239,0,102,188
240,4,123,189
241,17,85,190
242,15,135,8
243,12,61,8
244,20,136,191
245,4,41,192
246,17,56,193
247,11,10,194
248,0,38,8
249,0,137,195
250,24,138,8
251,17,102,196
252,19,60,197
253,0,99,198
254,24,12,199
255,0,73,200
256,9,41,201
257,11,40,8
258,0,139,202
259,12,140,8
260,7,60,203
261,17,141,204
262,17,131,8
263,8,7,205
264,7,142,206
265,25,126,207
266,11,31,208
267,2,143,209
268,0,144,8
269,16,8,210
270,11,145,211
271,11,146,212
272,25,19,213
273,15,10,214
274,0,111,215
275,0,46,8
276,17,56,216
277,13,31,8
278,0,8,217
279,14,47,218
280,8,19,219
281,2,41,220
282,0,147,221
283,20,148,222
284,4,121,8
285,25,98,223
286,14,149,224
287,6,150,225
288,0,116,8
289,11,151,226
290,20,152,227
291,14,56,228
292,7,11,229
293,20,153,230
294,0,3,231
295,24,41,232
296,6,41,8
297,23,130,233
298,0,154,234
299,3,12,235
300,0,5,236
301,26,70,237
302,0,155,238
303,4,1,239
304,11,36,240
305,12,12,241
306,8,41,242
307,18,156,243
308,2,157,8
309,18,158,244
310,5,66,245
311,28,56,246
312,19,61,247
313,23,159,8
314,13,160,248
315,5,73,249
316,28,15,8
317,0,161,250
318,0,72,251
319,5,61,252
320,1,8,253
321,26,162,8
322,10,163,8
323,11,7,8
324,7,8,8
325,9,102,8
326,17,3,254
327,24,164,8
328,7,76,8
329,17,159,255
330,11,59,8
331,7,56,256
332,5,24,257
333,11,108,8
334,4,165,258
335,5,81,259
336,5,41,8
337,12,60,260
338,8,17,178
339,17,60,261
340,4,41,8
341,4,56,262
342,18,110,8
343,0,130,8
344,14,24,263
345,27,166,264
346,8,110,265
347,11,26,266
348,8,48,267
349,11,167,268
350,20,168,269
351,30,89,270
352,12,25,8
353,17,120,271
354,0,159,272
355,14,27,8
356,4,25,273
357,0,169,274
358,20,170,275
359,14,41,276
360,17,65,277
361,0,171,278
362,17,172,279
363,0,173,280
364,5,103,281
365,2,8,282
366,8,108,283
367,9,12,284
368,7,7,8
369,15,174,285
370,14,175,286
371,8,7,287
372,18,7,8
373,11,130,8
374,8,27,8
375,0,130,8
376,17,103,288
377,0,176,8
378,5,105,8
379,13,19,8
380,0,123,289
381,7,177,8
382,0,178,290
383,23,99,8
384,1,24,291
385,20,170,292
386,0,130,293
387,17,116,294
388,14,11,295
389,0,61,296
390,8,41,297
391,25,179,298
392,8,61,242
393,8,180,299
394,9,12,8
395,7,108,300
396,17,28,301
397,25,181,302
398,4,31,303
399,2,141,8
400,4,78,304
401,0,59,305
402,11,59,306
403,0,76,8
404,30,182,8
405,0,183,307
406,14,36,8
407,0,111,308
408,17,14,309
409,17,46,310
410,20,9,8
411,8,12,311
412,22,149,312
413,4,184,8
414,25,61,8
415,0,17,313
416,27,185,314
417,25,186,315
418,25,33,316
419,0,61,8
420,0,187,317
421,0,81,318
422,18,151,8
423,11,188,319
424,28,56,8
425,0,56,8
426,17,189,320
427,8,7,8
428,0,190,321
429,14,191,322
430,6,24,323
431,11,41,8
432,1,192,324
433,6,125,325
434,17,8,326
435,0,12,327
436,17,27,328
437,20,60,8
438,7,92,329
439,3,61,330
440,0,8,331
441,25,193,332
442,8,110,333
443,10,194,8
444,1,103,8
445,5,8,334
446,23,195,8
447,4,196,335
448,17,99,336
449,1,197,337
450,0,7,338
451,23,165,8
452,7,88,8
453,15,198,339
454,14,7,8
455,19,88,340
456,19,199,341
457,4,24,342
458,13,36,343
459,0,162,8
460,17,200,344
461,0,80,345
462,14,201,346
463,24,66,8
464,25,3,8
465,28,123,347
466,5,202,8
467,20,203,348
468,14,78,349
469,8,56,8
470,28,81,350
471,1,61,8
472,0,6,351
473,24,48,352
474,5,56,8
475,26,61,8
476,24,204,353
477,1,8,354
478,23,94,355
479,9,110,356
480,17,25,357
481,0,14,358
482,15,41,359
483,28,60,360
484,13,31,361
485,25,99,362
486,0,116,363
487,22,94,364
488,26,7,365
489,8,138,366
490,10,173,367
491,25,101,8
492,0,61,8
493,17,205,368
494,8,110,369
495,24,122,8
496,4,66,370
497,10,184,371
498,7,206,372
499,0,11,373
500,15,25,374
501,11,207,8
502,5,24,375
503,11,188,8
504,0,159,376
505,2,208,377
506,29,135,8
507,1,209,378
508,24,12,379
509,0,41,380
510,5,61,8
511,15,98,381
512,12,49,8
513,8,7,382
514,0,210,383
515,7,211,8
516,5,212,384
517,4,36,385
518,4,213,386
519,20,214,387
520,4,215,8
521,20,216,388
522,25,209,8
523,14,217,389
524,10,218,390
525,0,219,8
526,0,59,8
527,20,6,391
528,13,24,392
529,0,220,393
530,7,12,394
531,11,52,8
532,8,221,395
533,25,17,178
534,17,61,396
535,1,108,397
536,5,12,398
537,4,222,399
538,0,209,400
539,17,196,401
540,14,74,402
541,0,139,403
542,13,8,404
543,4,50,8
544,8,116,405
545,11,8,406
546,25,61,407
547,8,7,408
548,11,108,409
549,25,66,410
550,19,223,411
551,0,66,412
552,7,164,8
553,0,224,413
554,14,223,414
555,0,51,415
556,26,61,416
557,0,56,417
558,17,190,418
559,25,8,419
560,17,178,420
561,28,36,8
562,4,50,8
563,24,225,8
564,15,2,421
565,1,45,422
566,10,226,423
567,20,42,424
568,1,56,425
569,0,76,426
570,11,25,8
571,8,227,8
572,1,14,427
573,0,48,428
574,6,29,429
575,25,196,430
576,18,12,8
577,21,44,431
578,0,228,8
579,11,17,432
