cust_id,loan2_1,loan2_2,loan2_3,loan2_4,loan2_5
0,10,12,633875,397090,320365
1,7,19,352000,177810,185593
2,2,5,82000,57264,56618
3,8,21,97800,81408,77134
4,4,5,165000,33361,11845
5,6,21,185750,172493,179053
6,12,36,351500,215031,214844
7,11,30,182698,189093,184153
8,3,5,119000,76953,64474
9,5,6,78000,49469,33514
10,1,1,20000,18876,14252
11,6,8,121000,177115,137725
12,6,7,52000,42981,42695
13,8,15,296667,179958,194672
14,4,14,207999,69729,40154
15,12,13,173423,117290,181372
16,5,7,48000,13535,18535
17,2,2,18900,18020,15228
18,2,2,45000,528,13290
19,3,5,255000,0,70297
20,1,1,100,0,0
21,2,2,23000,0,0
22,7,7,285000,14733,18951
23,1,1,42000,0,12860
24,5,7,120000,70930,69528
26,5,8,356000,79405,112616
27,8,12,148900,88362,100347
28,7,15,457574,214344,160006
29,9,11,414000,382295,346503
30,6,8,272800,13639,22800
31,7,12,177500,95901,100916
33,8,12,121000,1666,75747
34,4,6,46000,31920,31409
35,4,6,97000,30278,34148
36,1,2,5000,5000,3933
37,4,7,90872,25623,57811
38,11,17,105797,94528,69147
39,4,11,271565,235259,232209
40,6,10,720216,261270,283515
41,12,21,385372,263823,263639
42,13,24,275846,251435,211372
43,5,9,281550,116837,122215
44,3,7,55000,25830,31254
45,10,18,788880,344619,298414
46,2,2,21000,15408,15849
47,9,14,154000,1797,8930
49,6,12,228000,12895,43114
50,5,9,292500,216383,160913
51,8,13,207500,102557,71328
52,3,5,181000,55400,55400
53,12,22,290500,155159,156010
54,2,13,108535,103731,105351
55,2,4,68000,14331,10674
56,5,12,314958,186399,166186
57,4,4,117000,83233,82456
58,6,10,565000,287751,301114
59,3,14,72000,51287,56919
60,10,16,533000,130962,215630
61,10,35,274031,162912,148239
62,3,3,90000,51619,10696
63,5,8,295000,229474,177603
64,14,39,396785,335770,303848
65,6,7,90000,77230,67797
66,5,13,160000,112122,120446
67,2,3,3500,0,0
