cust_id,date_1,query_1,query_2,query_3,query_4,query_5,query_6
0,7515,51,2,1,0,1,0
1,7465,24,2,1,0,1,0
2,7468,11,2,1,0,1,0
3,7452,12,2,0,0,0,0
4,7705,53,8,0,0,0,0
5,7234,11,2,0,0,0,0
6,7405,11,2,0,0,0,0
7,7164,11,2,0,0,0,0
8,7421,51,2,2,0,2,0
9,,,,0,0,0,0
10,7620,11,2,1,0,1,0
11,7511,11,3,1,2,1,2
12,7665,53,8,0,0,0,0
13,7447,11,3,0,1,0,1
14,7477,11,2,2,0,2,0
15,7553,51,2,1,0,1,0
16,7653,51,2,2,0,2,0
17,7525,11,3,0,1,0,1
18,7467,53,2,0,0,0,0
19,7696,11,2,1,0,1,0
20,7638,11,2,0,0,0,0
21,7740,53,8,1,0,1,0
22,7402,11,2,0,0,0,0
23,7108,11,2,0,0,0,0
24,7661,53,8,0,0,0,0
25,7348,11,2,0,0,0,0
26,7262,11,2,0,0,0,0
27,7655,51,2,1,3,1,3
28,7921,11,2,1,0,1,0
29,7193,11,3,1,2,1,2
30,7585,51,2,0,0,0,0
31,7667,24,2,2,0,2,0
32,6807,11,2,0,0,0,0
33,7361,53,2,0,0,0,0
34,7488,11,3,0,0,0,0
35,7498,11,8,0,0,0,0
36,7463,11,2,0,0,0,0
37,7506,11,3,1,1,1,1
38,7494,11,2,0,0,0,0
39,7492,11,2,0,0,0,0
40,7389,11,2,3,0,4,0
41,7279,11,2,0,0,0,0
42,7463,11,3,0,0,0,0
43,7514,53,2,1,0,1,0
44,7607,51,2,1,0,1,0
45,7341,11,2,1,3,1,3
46,7677,53,8,0,0,0,0
47,7610,11,2,0,0,0,0
48,7229,11,2,0,0,0,0
49,7725,11,3,0,1,0,1
50,7634,53,8,0,0,0,0
51,7608,11,2,2,0,2,0
52,7593,53,8,0,0,0,0
53,7606,11,2,0,0,0,0
54,7198,11,3,0,1,0,1
55,7532,53,2,1,0,1,0
56,7400,11,2,0,0,0,0
57,7486,11,3,0,1,0,1
58,7511,11,2,1,0,1,0
59,7204,11,2,0,0,0,0
60,7485,11,3,0,1,0,1
61,7308,11,3,0,1,0,1
62,7146,11,2,0,0,0,0
63,7669,53,8,1,0,1,0
64,7586,53,8,0,0,0,0
65,7668,53,8,1,1,1,1
66,7724,11,2,1,0,1,0
67,7269,11,3,0,0,0,0
68,7688,12,2,3,0,3,0
69,7731,53,8,0,0,0,0
70,7016,11,3,0,0,0,0
71,7187,11,2,0,0,0,0
72,7324,11,2,0,0,0,0
73,7352,11,2,0,0,0,0
74,7404,11,2,0,0,0,0
75,7485,53,2,0,0,0,0
76,7677,51,2,1,0,1,0
77,7506,11,2,1,0,1,0
78,7541,24,2,2,0,2,0
79,7604,11,2,0,0,0,0
80,7574,11,2,5,0,5,0
81,7362,11,2,0,0,0,0
82,7290,11,3,0,0,0,0
83,7450,11,2,0,0,0,0
84,7480,53,2,1,0,1,0
85,7493,53,2,1,0,1,0
86,7592,11,2,0,0,0,0
87,7167,11,2,0,0,0,0
88,7451,11,3,0,0,0,0
89,7492,51,2,1,0,1,0
90,7933,11,2,0,0,0,0
91,7726,53,8,0,0,0,0
92,7494,24,2,2,0,2,0
93,7402,11,8,0,0,0,0
94,7512,11,2,1,0,1,0
95,7434,11,2,0,0,0,0
96,7402,11,2,0,0,0,0
97,7131,24,2,0,0,0,0
98,7684,11,2,3,0,3,0
99,7495,11,2,1,0,1,0
100,7694,11,2,1,0,1,0
101,7464,53,2,0,0,0,0
102,7526,11,2,2,0,11,0
103,7501,11,2,1,0,1,0
104,7659,11,2,1,0,1,0
105,7435,11,2,0,0,0,0
106,7364,11,2,0,0,0,0
107,7625,11,2,1,0,1,0
108,7266,11,2,0,0,0,0
109,7515,11,3,0,2,0,2
110,7506,11,2,0,0,0,0
111,7428,11,2,0,0,0,0
112,7263,51,2,1,0,1,0
113,7631,11,8,0,0,0,0
114,7557,11,3,0,1,0,1
115,7484,11,2,1,0,1,0
116,7590,11,2,1,0,1,0
117,7684,24,2,1,0,1,0
118,7456,11,2,1,0,1,0
119,7318,22,2,0,0,0,0
120,7599,51,2,1,0,1,0
121,7470,11,3,0,0,0,0
122,7464,23,2,1,0,1,0
123,7248,53,2,1,0,1,0
124,7416,11,3,0,0,0,0
125,7276,11,2,0,0,0,0
126,7334,11,2,0,0,0,0
127,7375,11,2,0,0,0,0
128,7683,11,2,6,0,6,0
129,7511,51,2,0,0,0,0
130,7400,11,2,0,0,0,0
131,7651,53,8,0,0,0,0
132,7663,11,2,1,0,1,0
133,7372,11,2,0,0,0,0
134,7638,22,24,0,0,0,0
135,7151,11,3,0,0,0,0
136,7495,11,3,0,1,0,1
137,7462,11,2,0,0,0,0
138,7701,11,2,3,0,3,0
139,7498,11,3,0,2,0,2
140,7583,11,2,0,0,0,0
141,7365,11,2,2,0,2,0
142,7631,11,2,1,0,1,0
143,7386,11,2,0,0,0,0
144,7679,11,2,1,0,1,0
145,7459,11,3,0,0,0,0
146,7372,51,2,1,0,1,0
147,7533,11,3,0,0,0,0
148,7218,24,2,0,0,0,0
149,7186,11,2,0,0,0,0
150,7754,11,2,4,0,4,0
151,7742,11,2,1,0,1,0
152,7730,24,2,2,0,2,0
153,7586,53,8,0,0,0,0
154,7455,11,3,0,0,0,0
155,7355,11,2,0,0,0,0
156,7448,11,2,2,0,2,0
157,7191,11,3,0,1,0,1
158,7640,53,8,2,0,2,0
159,7505,51,2,3,1,3,1
160,7614,24,2,1,0,1,0
161,7200,11,3,0,0,0,0
162,7557,11,3,0,0,0,0
163,7528,51,2,1,0,1,0
164,7627,53,8,0,0,0,0
165,7453,11,2,0,0,0,0
166,7630,11,3,0,3,0,3
167,7512,11,3,2,1,2,1
168,7486,11,2,0,0,0,0
169,7346,11,2,0,0,0,0
170,7348,11,2,0,0,0,0
171,7505,11,2,0,0,0,0
172,7443,11,8,0,0,0,0
173,7678,11,2,2,0,2,0
174,7339,11,2,0,0,0,0
175,7485,11,2,3,0,3,0
176,7630,51,2,1,0,1,0
177,7475,11,2,0,0,0,0
178,7502,11,2,1,0,1,0
179,7363,51,2,1,0,1,0
180,7342,11,2,2,0,2,0
181,7499,11,3,0,1,0,1
182,7480,51,2,1,0,1,0
183,7514,51,2,1,0,1,0
184,7677,11,2,2,0,2,0
185,7723,11,2,4,0,4,0
186,7527,11,2,2,0,2,0
187,7577,11,3,0,0,0,0
188,7325,11,3,0,0,0,0
189,6842,11,2,0,0,0,0
190,7484,11,2,2,1,2,1
191,7668,51,2,1,0,1,0
192,7015,53,2,0,0,0,0
193,7298,11,2,0,0,0,0
194,7386,53,2,1,0,1,0
195,7728,11,3,0,1,0,1
196,7611,11,2,1,0,1,0
197,7526,12,2,0,0,0,0
198,7537,11,2,1,0,1,0
199,7624,11,3,0,1,0,1
200,7649,11,2,1,0,1,0
201,7606,11,2,1,0,1,0
202,7390,53,2,0,0,0,0
203,7621,24,2,1,0,1,0
204,7625,11,2,1,0,1,0
205,7177,11,3,0,0,0,0
206,7757,53,8,0,0,0,0
207,7527,11,2,0,0,0,0
208,7632,11,2,2,0,2,0
209,7508,11,2,1,1,1,1
210,7595,53,8,0,0,0,0
211,7502,24,2,1,1,1,1
212,7249,51,2,0,0,0,0
213,7526,51,2,1,0,1,0
214,6865,11,3,0,0,0,0
215,7480,53,2,2,0,2,0
216,7484,11,2,2,0,2,0
217,7418,11,2,0,0,0,0
218,7492,11,2,1,0,1,0
219,7640,11,3,1,2,1,2
220,7630,11,2,1,0,1,0
221,7652,11,2,2,0,2,0
222,7492,11,2,1,0,1,0
223,7639,11,2,0,0,0,0
224,7495,11,2,0,0,0,0
225,7478,11,2,0,0,0,0
226,7523,23,2,3,0,3,0
227,7648,11,2,1,0,1,0
228,7451,11,3,0,0,0,0
229,7491,11,3,0,1,0,1
230,7652,12,2,1,0,1,0
231,7186,11,2,0,0,0,0
232,7633,11,2,1,0,1,0
233,7401,11,2,0,0,0,0
234,7265,24,2,0,0,0,0
235,7471,11,2,0,0,0,0
236,7090,11,2,0,0,0,0
237,7219,11,2,0,0,0,0
238,7614,51,2,0,0,0,0
239,7459,11,2,0,0,0,0
240,7160,11,2,0,0,0,0
241,7683,11,2,1,0,1,0
242,7384,11,2,1,0,1,0
243,7151,11,2,0,0,0,0
244,7466,11,3,2,1,2,1
245,7592,53,8,0,0,0,0
246,7530,11,2,4,0,4,0
247,7488,51,2,1,0,1,0
248,7249,11,2,0,0,0,0
249,7605,11,2,1,0,1,0
250,7194,11,2,1,1,1,1
251,7484,11,2,1,0,1,0
252,7624,53,8,0,0,0,0
253,7179,11,2,0,0,0,0
254,7431,11,2,0,0,0,0
255,7401,11,2,0,0,0,0
256,7446,11,3,0,0,0,0
257,7490,11,3,0,0,0,0
258,7593,53,8,0,0,0,0
259,7529,11,2,1,0,1,0
260,7183,11,3,0,0,0,0
261,7470,11,2,0,0,0,0
262,7293,53,2,1,1,1,1
263,7708,11,3,0,0,0,0
264,7613,11,3,0,1,0,1
265,7649,24,2,2,0,2,0
266,7432,11,2,0,0,0,0
267,7639,11,3,0,2,0,2
268,7161,11,2,1,0,1,0
269,7500,11,2,0,0,0,0
270,7320,11,2,0,0,0,0
271,7453,11,2,0,0,0,0
272,7462,11,3,0,0,0,0
273,7684,53,8,0,0,0,0
274,7649,11,3,0,0,0,0
275,7403,11,2,1,0,1,0
276,7333,11,3,0,0,0,0
277,7250,11,2,0,0,0,0
278,7516,11,3,0,1,0,1
279,7471,11,2,1,0,1,0
280,7562,11,2,0,0,0,0
281,7515,11,2,2,0,2,0
282,7334,24,2,0,0,0,0
283,7533,11,2,1,0,1,0
284,7369,11,2,1,0,1,0
285,7574,24,2,2,0,2,0
286,7451,51,2,0,0,0,0
287,7135,12,2,0,0,0,0
288,7177,11,3,0,1,0,1
289,7557,11,2,0,0,0,0
290,7732,11,2,1,0,1,0
291,7603,11,2,0,0,0,0
292,,,,0,0,0,0
293,7591,11,3,0,0,0,0
294,7406,11,2,0,0,0,0
295,7625,11,2,3,0,3,0
296,7465,11,2,1,0,2,0
297,7152,24,2,0,0,0,0
298,7739,24,2,1,0,1,0
299,7752,11,2,0,0,0,0
300,7632,11,2,0,0,0,0
301,7753,53,8,3,0,3,0
302,7514,11,2,4,0,7,0
303,7613,11,2,4,1,4,1
304,7654,11,2,1,1,1,1
305,7492,11,3,0,0,0,0
306,7587,53,8,0,0,0,0
307,7466,11,3,0,1,0,1
308,7176,11,2,0,0,0,0
309,7582,53,8,0,0,0,0
310,7508,11,8,0,0,0,0
311,7589,53,8,0,0,0,0
312,7613,11,2,0,0,0,0
313,7306,51,2,1,0,1,0
314,7646,12,2,1,0,1,0
315,7460,11,2,2,0,2,0
316,7435,11,2,0,0,0,0
317,7471,11,2,1,0,1,0
318,7473,11,3,1,1,1,1
319,7675,53,8,0,0,0,0
320,7657,11,2,0,0,0,0
321,7167,11,3,0,0,0,0
322,7376,51,2,1,0,1,0
323,7063,11,2,0,0,0,0
324,7316,24,2,2,0,2,0
325,7311,11,3,0,0,0,0
326,7598,53,8,1,0,1,0
327,7409,11,3,0,1,0,1
328,7160,11,3,2,1,2,1
329,7505,11,2,2,0,2,0
330,7194,11,2,1,0,1,0
331,,,,0,0,0,0
332,7485,11,2,1,0,2,0
333,7442,11,2,1,0,1,0
334,7487,11,2,1,0,1,0
335,7486,11,2,0,0,0,0
336,7530,51,2,2,1,2,1
337,7513,23,2,1,0,1,0
338,7239,11,2,0,0,0,0
339,7600,51,2,2,0,2,0
340,7295,11,3,0,0,0,0
341,7426,11,2,0,0,0,0
342,7109,11,2,0,0,0,0
343,7345,11,2,0,0,0,0
344,7484,11,2,1,0,1,0
345,7606,11,2,1,0,1,0
346,7612,53,8,0,0,0,0
347,7477,11,2,0,0,0,0
348,7421,51,2,0,0,0,0
349,7587,11,2,1,0,1,0
350,7537,11,3,0,0,0,0
351,7524,51,2,1,1,1,1
352,7345,11,2,1,0,1,0
353,7501,11,2,1,0,1,0
354,7527,23,2,1,1,1,1
355,7404,53,2,0,0,0,0
356,7464,11,3,0,0,0,0
357,7640,11,2,1,0,1,0
358,7478,11,3,1,1,1,1
359,7488,11,2,2,0,2,0
360,7603,53,8,0,0,0,0
361,7393,11,2,0,0,0,0
362,7608,11,3,0,1,0,1
363,7704,11,2,1,0,1,0
364,7695,11,2,1,0,1,0
365,7593,11,2,1,0,1,0
366,7740,11,2,3,0,3,0
367,7472,11,2,0,0,0,0
368,7521,11,2,2,0,3,0
369,7568,11,2,0,0,0,0
370,7509,24,2,1,0,1,0
371,7497,11,3,0,1,0,1
372,7584,51,2,1,0,1,0
373,7365,11,2,1,0,2,0
374,7220,11,2,0,0,0,0
375,7432,24,2,1,0,1,0
376,7500,24,2,3,0,3,0
377,7444,11,2,1,0,1,0
378,7269,24,2,0,0,0,0
379,7481,53,2,0,0,0,0
380,7484,11,2,1,0,1,0
381,7460,11,2,1,0,1,0
382,7695,11,2,1,0,1,0
383,7152,24,2,0,0,0,0
384,7479,24,2,3,0,3,0
385,7483,53,2,1,0,1,0
386,7331,11,2,0,0,0,0
387,7656,11,2,2,0,2,0
388,7753,12,2,1,0,1,0
389,7723,51,2,1,0,1,0
390,7597,11,2,0,0,0,0
391,7611,53,8,0,0,0,0
392,7179,11,3,0,0,0,0
393,7387,11,3,0,0,0,0
394,7128,11,3,0,0,0,0
395,7576,11,2,1,0,1,0
396,7606,11,3,0,1,0,1
397,7615,11,2,0,0,0,0
398,7682,53,8,2,0,2,0
399,7174,11,2,1,0,1,0
400,7143,11,3,0,0,0,0
401,7453,11,3,0,0,0,0
402,7693,11,2,1,0,1,0
403,7327,11,2,1,0,1,0
404,7541,11,3,1,2,1,2
405,7138,53,2,0,0,0,0
406,7194,11,3,0,2,0,2
407,7679,53,8,0,0,0,0
408,7213,11,2,0,0,0,0
409,7652,53,8,0,0,0,0
410,7231,11,2,0,0,0,0
