cust_id,label,basic_1,basic_2,basic_3,basic_4,basic_5,basic_6,basic_7,basic_8,basic_9,basic_10,basic_11,basic_12,basic_13,basic_14,basic_15,loan1_1,loan1_2,loan1_3,loan1_4,loan1_5,loan1_6,loan1_7,loan1_8,loan1_9,loan1_10,loan1_11,loan1_12,loan1_13,loan1_14,loan1_15,loan1_16,loan1_17,loan1_18,loan1_19,loan1_20,loan1_21,loan1_22,loan1_23,loan1_24,loan1_25,loan1_26,loan1_27,loan1_28,loan1_29,loan1_30,loan1_31,loan1_32,loan1_33,loan2_1,loan2_2,loan2_3,loan2_4,loan2_5,loan2_6,loan2_7,loan2_8,loan2_9,loan2_10,loan2_11,loan2_12,overdue_1,overdue_2,overdue_3,overdue_4,overdue_5,overdue_6,overdue_7,overdue_8,overdue_9,overdue_10,overdue_11,overdue_12,overdue_13,overdue_14,overdue_15,overdue_16,overdue_17,overdue_18,overdue_19,overdue_20,overdue_21,overdue_22,overdue_23,overdue_24,overdue_25,overdue_26,overdue_27,overdue_28,overdue_29,query_1,query_2,query_3,query_4,query_5,query_6,query_7,query_8,query_9,query_10,query_11
0,1,-99,-99,-99,-99,2,2,30,0,0,3,0,0,-99,1,-99,0,1.0004483,6694,1.0004483,0,49921.668,125000,0,0,0,0,0,1.0004483,4086,4,3,4086,0,6691,-99,10523.333,126280,1,3,-99,0,3333,22.666666,36,36,14.333333,3,5,0,0,2,1,2,2,2,0,0,0,2,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,-99,0,0,0,0,0,0,0,0,8,0,2,3,0,4,5,0,0,6,0
1,1,-99,-99,-99,-99,1,1,35,0,0,5,0,0,-99,1,-99,0,1.0002913,13732,1.0002913,0,18000,37000,0,0,0,0,0,1.0002913,4348,18,1,4348,0,13728,-99,3193.25,38319,0,5,-99,0,0,6.75,0,11,3.4,3,1,0,0,13,2,10,8,11,0,0,0,11,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,6,3,1,1,0,4,3,1,0,4,1
2,1,-99,-99,-99,-99,2,3,27,0,0,4,0,0,-99,2,-99,0,2.607126,5561,2.607126,0,5846,8692,0,0,0,0,0,2.607126,1637,34,2,1637,0,2133,-99,984,11808,0,3,-99,0,2750,15.5,0,18,10,3,3,0,0,7,2,5,4,5,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0
3,1,-99,-99,-99,-99,1,1,35,0,0,1,0,0,-99,1,-99,0,0.3916955,566,0.3916955,0,3000,10000,0,0,0,0,0,0.3916955,879,20,1,879,0,1445,-99,2403.3333,28840,0,7,-99,0,0,12,0,12,14.285714,4,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,-99,0,0,0,0,-99,-99,-99,-99,3,0,0,0,0,0,0,0,0,2,0
4,1,-99,-99,-99,-99,1,1,48,0,0,-99,0,0,-99,1,-99,0,0,0,0,0,2000,2000,0,0,0,0,0,0,0,3,1,0,0,0,-99,166.66667,2000,0,1,-99,0,0,0,0,0,0,1,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,-99,0,0,0,0,-99,-99,-99,-99,3,5,2,7,0,8,8,5,0,3,5
5,1,2,1476,1550,1550,1,1,46,0,0,4,0,0,4,1,-99,1.1617548,1,7503,1,0,93600,270000,0,0,0,0,1.1617548,1,3300,11,2,3300,0.51096773,7503,-99,29509.75,354117,0,4,-99,0,268700,36,0,60,33.5,3,3,0.06394839,0,14,2,8,5,10,0.06394839,0.06394839,0,7,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4509,1,1,0,0,0,0,1,1,0,0,9,3,0,0,0,1,1,0,0,4,1
6,1,-99,-99,-99,-99,2,4,40,0,0,3,0,0,-99,1,-99,0,0.98456895,11421,0.98456895,0,30075,178000,0,0,0,0,0,0.98456895,8050,17,2,8050,0,11600,-99,8447,101364,1,8,-99,0,0,16.5,24,24,8.125,5,1,0,0,17,11,16,6,16,0,0,0,15,2,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,-99,0,0,0,0,0,0,0,0,9,0,0,0,0,3,3,0,0,6,0
7,1,-99,-99,-99,-99,0,1,52,0,0,-99,0,0,-99,2,-99,0,1,480,1,0,3649,6000,0,0,0,0,0,1,388,5,2,388,0,480,-99,537.3333,6448,0,2,-99,0,1048,16,0,20,13.5,2,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,-99,0,0,0,0,-99,-99,-99,-99,1,0,0,0,0,0,1,0,0,0,0
8,1,1,58,792,792,2,2,28,0,0,2,0,0,3,1,-99,73.39268,3.435402,58127,3.435402,510000,9519.625,510000,0,0,20,3003,69.60101,3.960911,6997,65,2,6997,8.834596,16920,-99,64973.168,779678,0,40,-99,489541,0,21.878048,0,360,15.780488,6,2,1.2260101,0,3,2,1,1,1,1.2260101,1.2260101,0,1,1,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,-99,0,0,0,0,0,0,0,0,2,0,2,2,0,2,2,0,0,2,0
9,1,-99,-99,-99,-99,1,1,49,0,0,2,0,0,-99,2,-99,0,1,27351,1,0,42416.668,77000,0,0,0,0,0,1,10797,14,2,10797,0,27351,-99,16468.25,197619,0,6,-99,0,72836,13.833333,0,25,8.333333,6,1,0,0,11,2,5,3,5,0,0,0,5,2,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,-99,0,0,0,0,0,0,0,0,16,1,2,2,0,12,11,1,0,15,1
10,1,3,217,2208,1797,1,1,38,0,0,3,0,0,9,2,-99,0.43206522,1,3975,1,260000,23400,260000,0,0,28,1702,0.24706522,1,1260,26,2,1702,0.185,3975,-99,37427,449124,0,10,-99,223013,0,34.909092,0,240,25.727272,4,1,3.1697826,0,6,2,5,2,6,0.30413043,0.30413043,0,6,0,0,1,1,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,334,1,1,1,2,0,0,0,1,0,0,6,0,1,1,0,4,4,0,0,4,0
